metric_name,metric_value,scenario,n,salary,i
irr,0.1085638363300625,iis,15,100000,1
twr,0.10524081523645723,iis,15,100000,1
pension,942.2846564848026,iis,15,100000,1
kz,0.11307415877817632,iis,15,100000,1
savings,269813.2920907328,iis,15,100000,2
roi,1.6344386065979815,iis,15,100000,2
irr,0.11484627439844397,iis,15,100000,2
twr,0.11301788618828068,iis,15,100000,2
pension,995.9627919940525,iis,15,100000,2
kz,0.11951553503928632,iis,15,100000,2
savings,168996.68123908257,iis,15,100000,3
roi,0.6500720850085334,iis,15,100000,3
irr,0.060903369162550236,iis,15,100000,3
twr,0.06710209751165785,iis,15,100000,3
pension,623.8180675991487,iis,15,100000,3
kz,0.07485816811189785,iis,15,100000,3
savings,222292.57265608627,iis,15,100000,4
roi,1.1704495387434415,iis,15,100000,4
irr,0.09276664376743149,iis,15,100000,4
twr,0.09930884480122315,iis,15,100000,4
pension,820.5493865277984,iis,15,100000,4
kz,0.09846592638333583,iis,15,100000,4
savings,265397.8622431358,iis,15,100000,5
roi,1.5913266503073964,iis,15,100000,5
irr,0.11297768749256765,iis,15,100000,5
twr,0.11070119341391194,iis,15,100000,5
pension,979.6640996472436,iis,15,100000,5
kz,0.11755969195766924,iis,15,100000,5
savings,133297.53455420616,iis,15,100000,6
roi,0.3015080482982272,iis,15,100000,6
irr,0.03255820904411966,iis,15,100000,6
twr,0.043299765166114,iis,15,100000,6
pension,492.04167686403883,iis,15,100000,6
kz,0.05904500122368467,iis,15,100000,6
savings,180788.53051263565,iis,15,100000,7
roi,0.7652068981554933,iis,15,100000,7
irr,0.06882191234053292,iis,15,100000,7
twr,0.0799985167174766,iis,15,100000,7
pension,667.3453639538131,iis,15,100000,7
kz,0.08008144367445759,iis,15,100000,7
savings,213847.5601526633,iis,15,100000,8
roi,1.0879930118621097,iis,15,100000,8
irr,0.08831269240828932,iis,15,100000,8
twr,0.09323484456554687,iis,15,100000,8
pension,789.376280984483,iis,15,100000,8
kz,0.09472515371813797,iis,15,100000,8
savings,232558.45136971943,iis,15,100000,9
roi,1.2706848792794185,iis,15,100000,9
irr,0.09794070935160515,iis,15,100000,9
twr,0.09574746976601056,iis,15,100000,9
pension,858.4438621730684,iis,15,100000,9
kz,0.10301326346076822,iis,15,100000,9
savings,558857.3528882613,iis,15,200000,0
roi,1.7283225645067384,iis,15,200000,0
irr,0.11880513345610355,iis,15,200000,0
twr,0.11358722413306888,iis,15,200000,0
pension,2062.912190856129,iis,15,200000,0
kz,0.12377473145136778,iis,15,200000,0
savings,510543.01886865677,iis,15,200000,1
roi,1.4924536312028254,iis,15,200000,1
irr,0.1085638363300625,iis,15,200000,1
twr,0.10524081523645723,iis,15,200000,1
